timestamp_utc,device_id,qbraid_status,native_source,native_status,verdict
2026-09-02T16:34:22+00:00,ibm:ibm:qpu:marrakesh,ONLINE,ibm,ONLINE,agree
2026-09-02T21:02:41+00:00,aws:aqt:qpu:ibex-q1,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-02T21:02:41+00:00,aws:ionq:qpu:forte-1,OFFLINE,aws-braket,OFFLINE,agree
2026-09-02T21:02:41+00:00,aws:ionq:qpu:forte-enterprise-1,ONLINE,aws-braket,ONLINE,agree
2026-09-02T21:02:41+00:00,aws:iqm:qpu:emerald,ONLINE,aws-braket,ONLINE,agree
2026-09-02T21:02:41+00:00,aws:iqm:qpu:garnet,ONLINE,aws-braket,ONLINE,agree
2026-09-02T21:02:41+00:00,aws:quera:qpu:aquila,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-02T21:02:41+00:00,aws:rigetti:qpu:cepheus-1-108q,ONLINE,aws-braket,ONLINE,agree
2026-09-02T21:02:41+00:00,ibm:ibm:qpu:fez,ONLINE,ibm,ONLINE,agree
2026-09-02T21:02:41+00:00,ibm:ibm:qpu:kingston,ONLINE,ibm,ONLINE,agree
2026-09-02T21:02:41+00:00,ibm:ibm:qpu:marrakesh,ONLINE,ibm,ONLINE,agree
2026-09-03T04:22:05+00:00,aws:aqt:qpu:ibex-q1,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-03T04:22:05+00:00,aws:ionq:qpu:forte-1,OFFLINE,aws-braket,OFFLINE,agree
2026-09-03T04:22:05+00:00,aws:ionq:qpu:forte-enterprise-1,ONLINE,aws-braket,ONLINE,agree
2026-09-03T04:22:05+00:00,aws:iqm:qpu:emerald,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-03T04:22:05+00:00,aws:iqm:qpu:garnet,ONLINE,aws-braket,ONLINE,agree
2026-09-03T04:22:05+00:00,aws:quera:qpu:aquila,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-03T04:22:05+00:00,aws:rigetti:qpu:cepheus-1-108q,ONLINE,aws-braket,ONLINE,agree
2026-09-03T04:22:05+00:00,ibm:ibm:qpu:fez,ONLINE,ibm,ONLINE,agree
2026-09-03T04:22:05+00:00,ibm:ibm:qpu:kingston,ONLINE,ibm,ONLINE,agree
2026-09-03T04:22:05+00:00,ibm:ibm:qpu:marrakesh,ONLINE,ibm,ONLINE,agree
2026-09-03T11:13:17+00:00,aws:aqt:qpu:ibex-q1,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-03T11:13:17+00:00,aws:ionq:qpu:forte-1,OFFLINE,aws-braket,OFFLINE,agree
2026-09-03T11:13:17+00:00,aws:ionq:qpu:forte-enterprise-1,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-03T11:13:17+00:00,aws:iqm:qpu:emerald,ONLINE,aws-braket,ONLINE,agree
2026-09-03T11:13:17+00:00,aws:iqm:qpu:garnet,ONLINE,aws-braket,ONLINE,agree
2026-09-03T11:13:17+00:00,aws:quera:qpu:aquila,UNAVAILABLE,aws-braket,ONLINE,disagree
2026-09-03T11:13:17+00:00,aws:rigetti:qpu:cepheus-1-108q,ONLINE,aws-braket,ONLINE,agree
2026-09-03T11:13:17+00:00,ibm:ibm:qpu:fez,ONLINE,ibm,ONLINE,agree
2026-09-03T11:13:17+00:00,ibm:ibm:qpu:kingston,ONLINE,ibm,ONLINE,agree
2026-09-03T11:13:17+00:00,ibm:ibm:qpu:marrakesh,ONLINE,ibm,ONLINE,agree
